StudyInstanceUID,slice_number
1.2.826.0.1.3680043.10001,0
1.2.826.0.1.3680043.10005,0
1.2.826.0.1.3680043.10014,0
1.2.826.0.1.3680043.10016,0
1.2.826.0.1.3680043.10032,0
1.2.826.0.1.3680043.10041,0
1.2.826.0.1.3680043.10051,0
1.2.826.0.1.3680043.10058,0
1.2.826.0.1.3680043.10062,0
1.2.826.0.1.3680043.1010,0
1.2.826.0.1.3680043.10136,0
1.2.826.0.1.3680043.1016,0
1.2.826.0.1.3680043.10179,0
1.2.826.0.1.3680043.10204,0
1.2.826.0.1.3680043.10230,0
1.2.826.0.1.3680043.10261,0
1.2.826.0.1.3680043.10360,0
1.2.826.0.1.3680043.10400,0
1.2.826.0.1.3680043.10412,0
1.2.826.0.1.3680043.10431,0
1.2.826.0.1.3680043.10443,0
1.2.826.0.1.3680043.10449,0
1.2.826.0.1.3680043.10515,0
1.2.826.0.1.3680043.10520,0
1.2.826.0.1.3680043.10541,0
1.2.826.0.1.3680043.10579,0
1.2.826.0.1.3680043.10606,0
1.2.826.0.1.3680043.10608,0
1.2.826.0.1.3680043.10614,0
1.2.826.0.1.3680043.1062,0
1.2.826.0.1.3680043.10628,0
1.2.826.0.1.3680043.10633,0
1.2.826.0.1.3680043.10639,0
1.2.826.0.1.3680043.10673,0
1.2.826.0.1.3680043.10678,0
1.2.826.0.1.3680043.10697,0
1.2.826.0.1.3680043.1071,0
1.2.826.0.1.3680043.10725,0
1.2.826.0.1.3680043.10732,0
1.2.826.0.1.3680043.10742,0
1.2.826.0.1.3680043.10776,0
1.2.826.0.1.3680043.10781,0
1.2.826.0.1.3680043.10815,0
1.2.826.0.1.3680043.10842,0
1.2.826.0.1.3680043.10856,0
1.2.826.0.1.3680043.10909,0
1.2.826.0.1.3680043.10921,0
1.2.826.0.1.3680043.10945,0
1.2.826.0.1.3680043.11013,0
1.2.826.0.1.3680043.11015,0
1.2.826.0.1.3680043.1102,0
1.2.826.0.1.3680043.11020,0
1.2.826.0.1.3680043.11026,0
1.2.826.0.1.3680043.1107,0
1.2.826.0.1.3680043.11090,0
1.2.826.0.1.3680043.11103,0
1.2.826.0.1.3680043.11116,0
1.2.826.0.1.3680043.11118,0
1.2.826.0.1.3680043.11121,0
1.2.826.0.1.3680043.11170,0
